(air) susu dibalas dng (air) tuba	[pb] kebaikan dibalas dng kejahatan
-kah	[bentuk terikat] (1) yg digunakan untuk mengukuhkan pertanyaan: mungkin -- dia kembali?; berenang atau berlari -- kawanmu itu?; (2) (dl ragam standar) digunakan untuk memperhalus pertanyaan dan ditambahkan pd kata tanya apa, mana, bagaimana, berapa, di mana, mengapa, siapa: siapa -- yg mau membantuku?
-kan	[sufiks pembentuk verba] (1) menjadikan: jalankan; datangkan; hitamkan; (2) sungguh-sungguh: dengarkan; camkan; (3) untuk; kpd orang lain: sewakan; bacakan; jualkan
-lah	[bentuk terikat] yg digunakan untuk menekankan makna kata yg di depannya
-mu	[klitik] kamu sbg penunjuk pemilik: bukumu; sepedamu
-nda	lihat 2-anda
-ni	lihat 1-i
-nya	[bentuk terikat] yg merupakan varian pronomina persona ia/dia dan pronomina benda yg menyatakan milik, pelaku, atau penerima: rumahnya; mengambilnya; memperolehnya
-wan	(-man, -wati) sufiks pembentuk nomina (1) orang yg ahli dl bidang: ilmuwan; budayawan; seniman; (2) orang yg bergerak dl: karyawati; wartawan;  (3) orang yg memiliki barang atau sifat khusus: dermawan; hartawan; rupawan; bangsawan
-wati	lihat -wan
-wi	lihat 1-i
-wiah	lihat 1-i
A	[n] (1) huruf pertama abjad Indonesia; (2) nama huruf a; (3) penanda pertama dl urutan (mutu, nilai, dsb)
a-	[bentuk terikat] (1) kekurangan : anemia;  (2) tidak atau bukan: aseksual;  (3) tanpa: anonim;
ab	[n] wadah kecil dr timah untuk candu; hap<br><br>[ark n] ayah
ab-	[bentuk terikat] dari; jauh dr: abnormal
aba	[n] ayah; bapak
aba-aba	[n] kata perintah dl baris-berbaris, gerak badan, dsb (spt si...ap! maju ja...lan! berhen...ti!)
abad	[n] (1) masa seratus tahun: bangunan itu diperkirakan dapat bertahan satu --;  (2) jangka waktu yg lamanya seratus tahun: -- ke-20 mulai pd tahun 1901 sampai tahun 2000;  (3) zaman (yg lamanya tidak tentu); (4) masa yg kekal, tidak berkesudahan
abad keemasan	masa kegemilangan dan kejayaan yg dialami suatu bangsa atau negara dl sejarahnya; zaman keemasan
abad komputer	zaman modern yg orang-orangnya memanfaatkan komputer dl menyimpan dan mengolah data
abad modern	masa atau zaman yg ditandai dng kemajuan peradaban manusia (penemuan baru bidang teknologi dsb)
abad pertengahan	kurun waktu sekitar tahun 500-1500 dl sejarah peradaban atau kebudayaan Eropa Barat
abadi	aba.di<br>[a] kekal; tidak berkesudahan: di dunia ini tidak ada yg --
